458.06 208.49 107.03 170.22 127.44 104.99 76.542 201.42 92.829 86.346
464.52 205.24 103.81 165.69 123.63 102.02 73.704 196.71 88.695 83.14
470.97 201.98 100.65 161.24 119.84 99.059 71.135 192.1 84.703 79.94
477.42 198.67 97.546 156.9 116.1 96.128 68.863 187.57 80.879 76.731
483.87 195.32 94.516 152.66 112.42 93.23 66.729 183.15 77.248 73.506
490.32 191.94 91.562 148.56 108.81 90.371 64.631 178.81 73.833 70.291
496.77 188.52 88.691 144.59 105.3 87.557 62.571 174.52 70.659 67.115
503.23 185.08 85.909 140.78 101.9 84.794 60.55 170.29 67.732 64.008
509.68 181.63 83.223 137.13 98.624 82.089 58.569 166.11 64.97 60.998
516.13 178.15 80.641 133.66 95.491 79.446 56.627 161.98 62.349 58.117
522.58 174.67 78.151 130.39 92.516 76.873 54.727 157.9 59.853 55.392
529.03 171.18 75.698 127.25 89.708 74.375 52.869 153.87 57.466 52.854
535.48 167.68 73.275 124.18 87.036 71.959 51.055 149.89 55.172 50.452
541.94 164.19 70.884 121.17 84.418 69.631 49.284 145.94 52.956 48.13
548.39 160.71 68.531 118.22 81.845 67.396 47.558 142.05 50.801 45.894
554.84 157.24 66.218 115.32 79.322 65.26 45.878 138.19 48.691 43.753
561.29 153.78 63.949 112.47 76.852 63.19 44.245 134.37 46.611 41.714
567.74 150.35 61.73 109.68 74.439 61.156 42.659 130.6 44.545 39.787
574.19 146.94 59.563 106.94 72.086 59.159 41.122 126.86 42.475 37.978
580.65 143.56 57.453 104.25 69.799 57.199 39.634 123.16 40.374 36.295
587.1 140.22 55.403 101.61 67.579 55.28 38.196 119.49 38.252 34.67
593.55 136.92 53.418 99.023 65.432 53.404 36.81 115.85 36.131 33.018
600 133.66 51.501 96.485 63.361 51.572 35.476 112.25 34.028 31.372
606.45 130.45 49.657 93.995 61.369 49.787 34.195 108.68 31.963 29.765
612.9 127.3 47.889 91.554 59.461 48.05 32.967 105.14 29.954 28.228
619.35 124.2 46.202 89.161 57.64 46.364 31.795 101.62 28.022 26.796
625.81 121.17 44.591 86.814 55.91 44.731 30.678 98.096 26.185 25.499
632.26 118.2 43.002 84.513 54.275 43.152 29.618 94.564 24.462 24.373
638.71 115.31 41.404 82.258 52.738 41.63 28.615 91.065 22.873 23.448
645.16 112.49 39.808 80.047 51.301 40.166 27.671 87.611 21.436 22.759
651.61 109.75 38.222 77.88 49.944 38.764 26.762 84.211 20.165 22.321
658.06 107.11 36.657 75.757 48.655 37.424 25.858 80.878 18.943 21.956
664.52 104.54 35.121 73.676 47.428 36.149 24.962 77.62 17.729 21.595
670.97 102.02 33.626 71.637 46.257 34.918 24.075 74.45 16.543 21.237
677.42 99.509 32.18 69.638 45.135 33.689 23.199 71.377 15.404 20.882
683.87 97.001 30.793 67.681 44.056 32.467 22.336 68.412 14.33 20.531
690.32 94.5 29.475 65.763 43.013 31.257 21.488 65.566 13.34 20.183
696.77 92.007 28.235 63.884 42 30.064 20.658 62.837 12.454 19.839
703.23 89.526 27.084 62.038 41.011 28.895 19.848 60.111 11.689 19.498
709.68 87.059 26.03 60.204 40.038 27.753 19.058 57.354 11.064 19.161
716.13 84.608 25.084 58.368 39.076 26.646 18.292 54.596 10.599 18.827
722.58 82.177 24.255 56.53 38.118 25.577 17.552 51.869 10.295 18.496
